3_attn.q 3_attn.q 1757808.363954506
3_attn.q 3_attn.k 1425977.5336849669
3_attn.q 3_attn.v 987811.5232636904
3_attn.q 3_attn.o 1018991.2879354606
3_attn.q 4_attn.q 559859.819881618
3_attn.q 4_attn.k 779060.9238704582
3_attn.q 4_attn.v 1226959.8941946744
3_attn.q 4_attn.o 190590.2987582515
3_attn.q 5_attn.k 1625523.3582645569
3_attn.q 5_attn.v 1144588.8117332566
3_attn.q 5_attn.o 528504.6374567964
3_attn.q 6_attn.q 636382.716797801
3_attn.q 6_attn.k 330397.78670726134
3_attn.q 6_attn.v 780137.784622672
3_attn.q 7_attn.q 428247.81852489006
3_attn.q 7_attn.k 444824.7053550395
3_attn.q 7_attn.v 193819.2988892618
3_attn.q 7_attn.o 525604.714271187
3_attn.q 8_attn.q 35568.80384419742
3_attn.q 8_attn.k 672127.8724886676
3_attn.q 8_attn.v 225149.18644016972
3_attn.q 8_attn.o 1985029.6890229501
3_attn.q 9_attn.q 513054.53719695256
3_attn.q 9_attn.k 1167470.5023671235
3_attn.q 9_attn.v 474838.9743194176
3_attn.q 10_attn.q 1692461.539796823
3_attn.q 10_attn.k 1215196.708060393
3_attn.q 10_attn.v 471108.5917258517
3_attn.q 10_attn.o 817417.3605878794
3_attn.q 11_attn.k 501744.05194149737
3_attn.q 12_attn.q 735481.937965663
3_attn.q 12_attn.k 1739768.4930685596
3_attn.q 12_attn.v 2282817.620628141
3_attn.q 12_attn.o 407898.6917714232
3_attn.q 13_attn.q 461593.9578474089
3_attn.q 13_attn.k 1133452.397403477
3_attn.q 13_attn.v 1905480.291791062
3_attn.q 13_attn.o 1476864.626922448
3_attn.q 14_attn.q 899162.5943299525
3_attn.q 14_attn.v 2629824.9173097713
3_attn.q 14_attn.o 799154.3814639224
3_attn.q 15_attn.k 2661584.1445355914
3_attn.q 15_attn.o 118684.96565361912
3_attn.q 16_attn.v 13603.47100904045
3_attn.q 16_attn.o 351653.8719913463
3_attn.q 17_attn.q 409556.8904766721
3_attn.q 17_attn.o 2869327.360398268
3_attn.q 18_attn.k 990435.6779964482
3_attn.q 18_attn.v 741834.6255918671
3_attn.q 18_attn.o 228643.64915425665
3_attn.q 19_attn.q 923362.9100074102
3_attn.q 19_attn.k 160396.29187553527
3_attn.q 19_attn.v 321903.5091106025
3_attn.q 19_attn.o 316670.3955591976
